ID,值,类别
4000,-0.6910334996469556,D
4001,0.07750685356173309,D
4002,1.6729990006252542,A
4003,1.5591295341995723,D
4004,-0.5585695011291418,A
4005,0.8266556840234387,B
4006,0.34316231186856144,B
4007,0.4643924774561157,A
4008,-0.5406041349684574,D
4009,0.09580443205307543,D
4010,0.8832409162819316,A
4011,-1.4409101724165658,D
4012,-0.12095929324704305,A
4013,-0.13186081113181042,B
4014,-0.7591741260833383,A
4015,-0.5392854654015238,C
4016,1.061534520105987,B
4017,-0.8103254603922532,D
4018,2.07750510329947,D
4019,-1.4366087315591678,B
4020,0.6421188725506628,D
4021,0.3751479336500325,B
4022,0.13603412452159766,D
4023,0.0853972199286012,A
4024,0.6479279655402039,C
4025,0.4960205493389237,D
4026,-0.18368096856610952,A
4027,0.7445479598361286,C
4028,1.6207163090187402,D
4029,0.7694442456648402,D
4030,-0.18924500087937352,B
4031,-0.8309399288422158,B
4032,0.08694937865877637,A
4033,-0.09922009844317559,B
4034,0.2528858482849545,D
4035,-0.760231633980312,D
4036,0.1352155375609274,D
4037,1.0311137560779076,D
4038,-0.12220865302624585,B
4039,0.5747051492464494,B
4040,1.2749393108571279,D
4041,-1.5475579791072325,A
4042,-0.00010891070044028838,D
4043,-0.5525327684701956,A
4044,-0.8038618951494588,B
4045,0.502256705548588,A
4046,0.8897309100852346,A
4047,1.0650972305938908,B
4048,-0.19259047722054692,B
4049,-1.2456892631235588,C
4050,1.1756452291780721,A
4051,-0.3444801838140392,C
4052,-1.103355425052078,B
4053,-1.0998157606326233,A
4054,0.8037859391408686,C
4055,0.38716288757392275,C
4056,1.2324619003057797,D
4057,1.0626618834450225,B
4058,-0.7476964318757465,B
4059,1.6428602239252377,D
4060,-0.05688788919324095,B
4061,-0.48831567807751314,A
4062,0.1071468262452298,A
4063,-0.6214768036956537,B
4064,0.2060102170680868,B
4065,0.6248732504256418,B
4066,2.2600172596102532,D
4067,0.038578475939371915,D
4068,0.774017568590639,D
4069,-1.1461523584678825,A
4070,-1.250707914674492,D
4071,-0.704242656433859,A
4072,1.283606298848024,C
4073,-1.4512390071533523,D
4074,0.23456691795407178,D
4075,-0.8614179999177429,D
4076,1.9687588263136704,D
4077,-1.6512260803808454,D
4078,-0.9816012598961934,D
4079,0.6713052400228331,B
4080,-1.1672503919973407,C
4081,-0.4736896759399379,D
4082,0.002519568439191312,B
4083,-1.2825151646221058,B
4084,0.3153603935946252,D
4085,-1.4366744003827734,B
4086,2.583997323377169,B
4087,-1.9096031474220845,D
4088,-0.2823371498860426,D
4089,0.8149951850214767,B
4090,-0.4532027117417064,A
4091,-1.8243083092667478,A
4092,-0.06533943022020394,B
4093,0.1456013711127384,A
4094,-0.6562888237730069,B
4095,0.19139821030570178,B
4096,1.0333030774596397,A
4097,-0.07031198731975506,D
4098,0.7367729612704608,B
4099,-0.01050542273257885,A
4100,0.4454375769530737,A
4101,1.4909394382305288,C
4102,-0.558591100507108,C
4103,1.2000041999409423,A
4104,0.3804899679105221,D
4105,-0.10924796603216574,D
4106,-1.3500415192523685,A
4107,0.3799022115431175,A
4108,0.6205842086762835,C
4109,-1.3916216213180106,A
4110,0.2145688520462216,D
4111,0.5442220378070123,C
4112,-0.5114141566040333,C
4113,0.25560452888005797,B
4114,0.52889732012251,B
4115,0.9350879366313054,D
4116,1.0237229446295593,B
4117,-0.6215996365405557,A
4118,-1.681655952199999,B
4119,-0.16505822354423336,A
4120,-1.3395664865631898,B
4121,0.8997239874914054,B
4122,-0.889533629542303,C
4123,0.3530646084836403,D
4124,-1.1934378602333713,C
4125,0.05130551832208531,C
4126,-0.9285815772757431,C
4127,1.7656007767052337,B
4128,0.02594511636538897,C
4129,-0.4342157233711952,D
4130,-0.5857265976874947,C
4131,2.2680499071948637,B
4132,0.3749957714931721,C
4133,-0.40950698273123953,B
4134,0.46000110769349284,C
4135,1.7525654528118908,A
4136,-0.026168145748587356,C
4137,-1.481210816122955,B
4138,-1.0914241972091954,B
4139,-0.022919721891579863,C
4140,0.2825460180307756,C
4141,1.147930242369178,C
4142,0.3207077683739177,D
4143,-0.8387808526676401,A
4144,-0.6027853720923734,A
4145,0.31768135646256634,A
4146,-0.09926353238626007,B
4147,0.13563434808080152,B
4148,-0.08334282416911698,D
4149,0.4854041692471092,D
4150,-0.46676718736171824,A
4151,0.8483977564958313,A
4152,-1.3763086806421279,C
4153,-0.7721721016332526,D
