ID,值,类别
2000,1.1593617934052232,D
2001,0.4968276856459903,D
2002,-0.37551296017928837,C
2003,0.6723236873971536,B
2004,0.2911429999384711,A
2005,-0.06026307221712378,C
2006,-0.6271936567954749,B
2007,-2.0077231717056563,C
2008,0.13449665848229694,A
2009,0.7625426189328776,D
2010,2.0856570877285505,A
2011,0.6050860170956683,A
2012,-0.9247229806821565,C
2013,0.02634812103497573,D
2014,1.7939146831297808,A
2015,-1.180594084560609,D
2016,-0.014769346185219289,B
2017,0.09391437895444549,B
2018,1.3936061010130136,C
2019,-0.780645421405031,D
2020,-1.722317576636747,A
2021,0.7262979513208241,C
2022,1.0947850115332725,C
2023,1.4616593277928533,B
2024,-0.34049779254229545,D
2025,-1.7344600951136484,B
2026,-0.5948674361618682,A
2027,0.6044995495466242,A
2028,1.9632348054278448,C
2029,0.12327348937711571,C
2030,0.6673186060440854,D
2031,-0.7135697389494935,C
2032,-0.612438032124389,D
2033,-0.6416124143724016,C
2034,-0.32086228834704406,A
2035,-0.008813832172953492,A
2036,-0.7730124263968735,C
2037,1.025090824423027,B
2038,0.14895225187462247,A
2039,0.5089760961767313,B
2040,-2.4136432740368305,D
2041,1.2526836689985883,A
2042,0.8637339562391213,A
2043,-1.2740659699114631,C
2044,0.4373643694464839,C
2045,-0.9439636844585776,A
2046,1.277003729548796,D
2047,-0.740157190679945,A
2048,-0.26794785310633207,A
2049,1.6193577811424325,C
2050,-0.08403644597373476,C
2051,-0.007423542495233232,A
2052,0.5237037061017425,C
2053,-0.21147987683764594,D
2054,0.2495716034799173,C
2055,-0.20403276813829682,B
2056,1.010833567549233,D
2057,0.6719485422794436,A
2058,0.5808176519352363,C
2059,-0.9057384317447847,B
2060,-0.033687259548686475,A
2061,-0.45663518492495353,C
2062,0.2777570538750088,C
2063,0.37425817447893345,B
2064,0.726088050456944,B
2065,-1.582347857707749,D
2066,0.6161983319893423,D
2067,-0.2438317506349861,C
2068,1.1831614305543001,B
2069,1.9928758042887418,C
2070,-0.5450490679432128,C
2071,0.04754557973733771,D
2072,0.4131809174248031,A
2073,1.125461686943,B
2074,-1.4040643206490273,B
2075,-0.6406127574061571,A
2076,-0.47690891633006316,A
2077,0.6725057007164766,C
2078,-0.23816499113571224,A
2079,1.6336874354003137,C
2080,-0.3882961418261841,D
2081,-0.022533735815351966,B
2082,1.9084340358650438,B
2083,-1.2196380341689232,A
2084,1.5773995955458775,C
2085,0.3007304224726174,B
2086,-0.09792181245426605,B
2087,-1.450430304667742,D
2088,0.21537778170370753,D
2089,0.07160225610428617,A
2090,-1.1725756164707486,D
2091,-1.7764117524108234,D
2092,-0.21182030802285998,B
2093,-1.5482217443263466,D
2094,-0.7469624775426266,A
2095,-1.4947933860218665,B
2096,1.616043932999947,B
2097,-0.4787590258810808,D
2098,0.6233711614385716,A
2099,0.2958829285666915,A
2100,1.0094834178117396,A
2101,-0.27630232467496857,D
2102,0.7882817108533001,B
2103,0.29457264018225576,C
2104,-0.9546474083183888,A
2105,-0.5695370349497988,A
2106,0.9649677305634717,D
2107,-0.04094335389276581,D
2108,-0.8771909321156182,A
2109,0.34343063596234813,D
2110,-0.15463748603434974,A
2111,0.26021000625365764,C
2112,1.0267829993128472,A
2113,-1.1625106012480935,C
2114,-2.4163144290108525,C
2115,-0.13804355412247063,D
2116,-0.185298218861884,B
2117,-1.8306898040051303,B
2118,-0.775630539950154,C
2119,-1.2428275135998548,B
2120,0.6415790252877336,C
2121,0.3402873494281263,D
2122,1.6693355966807257,D
2123,0.8691490307393108,A
2124,-0.8553747620184402,D
2125,-0.34998079700740076,A
2126,1.4851625485284228,D
2127,-0.25836653029851464,C
2128,0.5589866391796375,C
2129,1.888551172485208,A
2130,0.09634095801777076,B
2131,0.03168708643655537,B
2132,0.3628474231655364,C
2133,-1.0108995153032723,A
2134,-0.21813496127092202,C
2135,0.6879757050669079,A
2136,-0.7447571791886005,B
2137,-1.0833858084188512,D
2138,-0.5126610113348905,B
2139,-0.19909227651630307,B
2140,-1.1565991885612465,C
2141,-1.6421177701411167,A
2142,0.3971241506366319,D
2143,2.3034147760642316,D
2144,0.2171048760645635,B
2145,1.7531818756461122,A
2146,-1.0513574100780296,A
2147,-1.5366430737197259,C
2148,-0.7659493223852664,C
2149,1.199620249333092,C
2150,1.839445938746012,C
2151,-0.061503989058416704,D
2152,-0.9905306091608346,C
2153,-0.8395872835834866,B
2154,-0.28613933838609673,B
2155,1.6148837884299958,D
2156,-0.7653386421501688,D
2157,-0.6850524185699441,C
2158,-0.6326723621620779,C
2159,0.7952851480694259,D
2160,0.10155214188428106,B
2161,1.384602711316811,C
2162,0.5898265549045153,C
2163,-0.774904141643606,C
2164,0.30162575568725697,D
2165,-0.5806764003624982,D
2166,0.22311335396272833,D
2167,0.8574389138900099,C
2168,-1.161337615331199,B
2169,-0.03131436396430576,B
2170,-0.6588678647432662,D
2171,-2.0720320442312437,B
2172,-0.21673958691507697,A
2173,1.2984033374829738,A
2174,1.679528348625457,D
2175,0.9266761998489347,C
2176,-1.1847188213921247,D
2177,-1.2907088100193813,A
2178,0.11338912808717748,B
2179,0.1810068798898273,B
2180,-0.9928040193050824,B
2181,-0.8031054656782518,B
2182,-0.901795029950079,D
2183,-0.14783289922624587,C
2184,-1.1048685137910779,C
2185,-0.44317454116311666,D
2186,-1.3774900470424498,A
2187,1.298787083511464,A
2188,-1.4759322259259724,C
2189,0.35562702289892156,B
2190,-0.6869540044009361,B
2191,0.48318082486567987,B
2192,1.5143083487672195,D
2193,-1.0614988167071226,A
2194,1.2032713622428228,B
2195,0.18472927351262147,B
2196,1.4562724984159823,C
2197,1.0888726485650775,C
2198,-1.6055683962559233,C
2199,-1.8896992579593463,B
2200,0.5598805151073257,C
2201,0.3129380872761236,A
2202,-0.5424164087574201,D
2203,-0.4727522331301827,B
2204,-0.14096830447409206,C
2205,0.7254699324202384,C
2206,0.9043487030268739,D
2207,-1.061251103868419,A
2208,0.7199799534979028,A
2209,-0.7379872459154774,D
2210,-1.026658499169291,C
2211,-1.7113595925093812,C
2212,0.037626398951823396,A
2213,0.30039531205179215,D
2214,0.953980383440554,B
2215,0.02577106447182286,C
2216,-1.5485330099755639,A
2217,1.802887968774116,B
2218,0.7280582184105107,A
2219,0.8400306500780109,B
2220,0.7888897171526227,A
2221,1.4816745716743591,C
2222,-0.24963043933829593,B
2223,0.9335668214154028,C
2224,0.1263169797335304,B
2225,-1.0906533259120912,C
2226,0.3551846414651887,C
2227,-0.6173295146640283,A
2228,1.8106587834315695,A
2229,0.6860851878273732,D
2230,-0.021757580560453904,A
2231,0.8985276484533865,D
2232,-0.9829404425065085,A
2233,-0.5465384098587049,C
2234,1.8015654398839085,C
2235,-1.9716660703792386,D
2236,-0.8911102519199633,C
2237,1.8319241289619914,C
2238,0.038362715461617146,C
2239,1.4798404234004259,A
2240,-0.5911562261731325,A
2241,0.5455235234533841,C
2242,-1.912766999122434,C
2243,1.7121676610687049,C
2244,1.0170930180661815,D
2245,0.6462679800246819,B
2246,-0.1965108854061193,C
2247,0.05294066435353445,C
2248,-0.4920278372451599,D
2249,0.7517380560703137,C
2250,-0.3889997129772279,C
2251,-0.12948711266538457,D
2252,-1.1436428529212155,D
2253,-0.7770867818331226,D
2254,1.820873399165866,A
2255,-0.7180639118931412,A
2256,-1.487497930874923,A
2257,1.60096038176412,C
2258,-1.8908037859754658,A
2259,-0.2966144820237614,A
2260,-0.9417731631413206,C
2261,-1.356806828652994,C
2262,0.31430822406633535,C
2263,0.9928032697865186,D
2264,0.1688907582615909,C
2265,-0.9211921743330697,B
2266,-1.644595950392013,D
2267,-1.0272812396294686,C
2268,-0.06433577754515113,C
2269,0.994630828761574,D
2270,1.7144279365439123,B
2271,0.6733441485447955,D
2272,0.45244679327618814,B
2273,1.6911104385005553,C
2274,-1.9360107845124093,B
2275,0.7873882431416002,A
2276,2.196216551869814,D
2277,-0.5552966501274411,C
2278,-0.8444294173031343,B
2279,1.3240194066322066,D
2280,-0.9498608077143527,D
2281,-0.724792059686202,D
2282,-0.525215117109119,C
2283,-1.0524005720805252,D
2284,-1.655628937773992,C
2285,-0.11629926202946342,D
2286,0.623535566906323,C
